MJD,mag,mag_err
54895.9140393,7.96487,0.02167
54895.9147453,8.02967,0.02244
54895.9154282,7.99677,0.02273
54895.9168171,7.98077,0.02167
54895.9175115,7.97297,0.02167
54903.8918171,7.71381,0.01576
54903.893206,7.70301,0.01556
54903.8939004,7.66091,0.01643
54903.8945949,7.70271,0.01576
54903.8952893,7.68661,0.01595
54903.8959837,7.65131,0.01576
54903.899456,7.77631,0.01682
54905.0383449,7.98871,0.03056
54905.0390393,7.85971,0.02997
54905.0404166,7.91991,0.03096
54905.0418171,7.88111,0.02968
54905.0432175,7.94441,0.02948
54905.043912,7.83321,0.02781
54905.0446064,7.91331,0.02918
54905.0453009,7.90051,0.0283
54905.0459953,7.91811,0.0281
54906.0258449,7.99268,0.02673
54906.0265393,8.08278,0.02702
54906.0272337,8.07478,0.02633
54906.0279282,7.98908,0.02861
54906.0286226,8.04078,0.02742
54906.0293171,8.02498,0.02673
54906.0300115,7.91608,0.02712
54906.1348726,7.76238,0.02515
54910.9265509,7.84348,0.01471
54910.9272337,7.86468,0.01481
54910.9279282,7.80678,0.01509
54910.9286226,7.81818,0.01471
54910.9293171,7.85148,0.01566
54910.9300115,7.85018,0.01471
54910.930706,7.83488,0.01509
54910.9314004,7.77978,0.01481
54910.9320949,7.82088,0.01509
54910.9327893,7.84118,0.01481
54910.9334837,7.82228,0.0149
54910.9341782,7.83338,0.01518
54910.9355671,7.88398,0.01518
54910.9362615,7.87368,0.01509
54910.936956,7.87278,0.01528
54910.9376504,7.88118,0.01528
54910.9383449,7.90448,0.01518
54910.9390393,7.87348,0.01547
54910.9397337,7.90078,0.01547
54910.9612615,7.95538,0.01604
54912.074456,7.73001,0.0153
54912.9286226,7.67565,0.01544
54912.9293171,7.67285,0.01572
54912.9300115,7.70575,0.01544
54912.930706,7.69085,0.01591
54912.9314004,7.68845,0.01563
54912.9320949,7.69475,0.01591
54912.9376504,7.73415,0.0161
54912.9383449,7.73325,0.0161
54913.8925115,7.77398,0.01848
54913.8932175,7.79728,0.01915
54913.8939004,7.79667,0.0178
54913.8952893,7.76818,0.01935
54913.8959953,7.78798,0.01848
54913.9536226,7.63667,0.01568
54913.9543171,7.63218,0.01587
54913.9550115,7.65427,0.01635
54913.955706,7.64157,0.01578
54913.9564004,7.63838,0.01578
54913.9570949,7.64937,0.01568
54913.9577893,7.63088,0.01606
54913.9584837,7.63918,0.0154
54913.9591782,7.63187,0.01559
54913.9598726,7.65157,0.01635
54913.9605671,7.63758,0.01626
54913.9612615,7.65417,0.01635
54913.961956,7.65468,0.01616
54913.9661226,7.76618,0.01722
54913.9668171,7.74637,0.01703
54913.9675115,7.79337,0.01712
54918.9390393,7.56191,0.01689
54918.9397337,7.52731,0.0167
54919.0147337,8.01521,0.02516
54919.074456,7.52261,0.0166
54919.0751504,7.50001,0.0165
54919.0758449,7.52001,0.01612
54919.0765393,7.48161,0.01612
54919.0772569,7.51251,0.01631
54919.0779282,7.53341,0.01631
54919.0793171,7.44771,0.0166
54919.0800231,7.48601,0.01679
54919.0807175,7.52251,0.0166
54919.0814004,7.52071,0.01574
54919.0820949,7.44431,0.01593
54922.8779282,8.02696,0.02336
54922.8793171,8.00436,0.02179
54922.8946064,7.80006,0.01868
54922.8952893,7.79356,0.01984
54922.8959837,7.78326,0.01887
54922.8966782,7.79316,0.01965
54922.8973726,7.84156,0.01906
